Text ID	Text Paragraphs Count	Title
t000006	38	Effectiveness of topical treatment for pain control of malignant fungating wound in adults compared to systemic treatment: a systematic review protocol
t000007	28	Pre-emptive analgesia for primary tooth extractions in children: systematic review of literature
t000013	96	Brazilian’s Foreign Policy and Health (1995-2010): A policy analysis of the Brazilian Health Diplomacy – from Aids to ‘Zero Hunger’
t000020	34	Ethical Responsibility in Environmentally Sustainable Health Care
t000025	86	Topical therapy for pain management in malignant fungating wounds: a scoping review
t000029	58	Strategies for promoting mental health among residents: scoping review protocol.
t000030	69	Factors related to survival in Intensive Care Unit patients with Covid-19: a study from a single center in Brazil
t000034	41	Temporal inequality of RR intervals like a new psychophysiological indicator of mental stress
t000035	51	Quality of life among indigenous people using a simplified rehabilitation technique
t000037	38	EFFICACY OF METHOTREXATE MICROINFUSION IN SCALP LESIONS OF PATIENTS WITH FIBROSING FRONTAL ALOPECIA: A PROSPECTIVE CONTROLLED TRIAL
t000040	28	Visibility of the mandibular canal: from two-dimensional radiography to three-dimensional imaging
t000043	26	Proposal of a Quality Assessment tool for the Evaluation of the Methodological Quality of Self-Controlled Case Series and Self-Controlled Risk Interval Study Designs
t000063	38	IMPACT OF THE COVID-19 PANDEMIC ON ADOLESCENTS’ PERCEPTION OF SCIENCE, SCIENTISTS AND HEALTH CARE WORKERS, AND CHANGE OF CAREER CHOICES
t000068	43	Prevalence of parents' non-intention to vaccinate their children and adolescents against COVID-19: a comparative analysis in Colombia and Peru
t000069	24	COVID-19 incidence, severity, medication use, and vaccination among dentists: Staggering body of evidence obtained from a survey during the second wave in Brazil
t000076	32	Modified Salter Pelvic Osteotomy for DDH treatment which may improve both anterior and posterior femoral head coverage.
t000079	24	Can risk of sarcopenia predict poorer quality of life in hemodialysis patients?
t000080	42	Myocardial Insulin Resistance
t000081	40	Intensive Olfactory Training in Post-COVID Patients: A Randomized Multicenter Clinical Trial
t000083	46	The cultural adaptation and psychometric properties of the Selfitis Behavior Scale: cross-sectional study in Brazilian adolescentsBrazilian version of the Selfitis Behavior Scale
t000086	24	CAN NLR BE A BIOMARKER FOR MUCOSITIS AND GVHD IN PATIENTS UNDERGOING ALLOGENEIC HEMATOPOIETIC STEM CELL TRANSPLANTATION?
t000088	35	Clinical parameters of individuals with periodontitis and Diabetes Mellitus reveals signatures of the minority microbiota in saliva
t000091	48	PHYTOTHERAPEUTIC AGENTS ON ANXIETY CONTROL IN DENTISTRY: A LITERATURE REVIEW
t000092	27	SYMPATHOVAGAL EQUILIBRIUM ANALYSIS IN PATIENTS WITH COVID
t000093	28	Methodological Description of Mapping Brazilian Long-Term Care  Facilities for Older Adults
t000095	30	High discrepancies in the mortality of hospitalized patients with COVID-19 in the two most economically important states in Brazil
t000097	55	What is known on physical activity intervention protocols for breast cancer treatment? A scoping review
t000102	20	VALIDITY OF THE INSTRUMENT interRAI EMERGENCY SCREENER FOR PSYCHIATRY FOR THE BRAZILIAN CONTEXT
t000105	69	COVID-Inconfidentes - SARS-CoV-2 seroprevalence in two Brazilian urban areas during the pandemic first wave: study protocol and initial results
t000106	36	The effect of social distancing due to the COVID-19 on adult and elderly exercises. Exercise and social distancing
t000109	72	City-scale model for COVID-19 epidemiology with mobility and social activities represented by a set of Hidden Markov Models
t000112	24	Low anti-COVID-19 vaccination coverage and high COVID-19 mortality rates in Brazilian elderly
t000115	34	Mass treatment as a strategy to control intestinal parasites does not reduce the prevalency of infections in Guarani indigenous schoolchildren in Brazil
t000116	31	THE EFFECT OF PRIMARY CARE POLICY CHANGES ON HOSPITALIZATION FOR AMBULATORY CARE SENSITIVE CONDITIONS: NOTES FROM BRAZIL
t000121	29	Meta-worry, anxiety and depression in the COVID-19 pandemic
t000123	31	Trend in the prevalence of depression and correlates in Brazil: results from the National Health Surveys 2013 and 2019
t000126	27	Early cardiovascular sympathetic reflex activation is independent of occlusion time during reactive hyperemia
t000127	19	Influence of the emotional alterations in the arterial stiffness index and cardiovascular risk of pre-hypertensive patients
t000129	34	Validity of a 2-item screen to identify families at risk for food insecurity in Brazil
t000130	35	Subjective knowledge of school adolescents about the health effects of smoking and association with smoking status
t000132	60	From modern Planetary Health to decolonial promotion of One Health of Peripheries
t000133	80	One Health of Peripheries: biopolitics, social determination and field of praxis
t000135	23	Impact of the COVID-19 pandemic on Prenatal, Diabetes and medical appointments in the Brazilian National Health System
t000137	29	ASSOCIATION BETWEEN LEISURE TIME PHYSICAL ACTIVITY AND MORTALITY BY COVID-19 IN THE BRAZILIAN CAPITALS: AN ECOLOGICAL ANALYSIS
t000138	30	Cut down on the prevalence of cesarean sections in Brazil: a time-series from 2000 to 2017
t000139	44	“Incidentalormones” - Macro-hormones
t000141	37	The COVID-19 pandemic and plans for economic reopening in Brazil: a documental analysis
t000144	43	Spatial and temporal distribution of cancer mortality in a Brazilian Legal Amazon State between 2000 and 2015
t000145	51	Trends in sociodemographic and lifestyle factors associated with sedentary behavior among Brazilian adults
t000147	42	INCIDENCE OF DEEP VEIN THROMBOSIS IN FLOATING KNEE
t000148	45	RESULTADO CLÍNICO APÓS RECONSTRUÇÃO LIGAMENTAR BICRUZADO DO JOELHO, EM DOIS TEMPOS
t000151	38	Incidence of overweight children in school years and its relation with prenatal factors
t000154	35	Attitudes to open peer review among stakeholders of a scholarly-led journal in Brazil
t000156	29	Inappropriate requests for tumor markers in patients aged 50 years and older: lessons not learned.
t000158	31	BIOSAFETY KNOWLEDGE, ACTIONS AND MEASURES OF BRAZILIAN DENTISTS DURING THE COVID-19 PANDEMIC
t000159	40	MANAGEMENT OF THE HEALTH WORKFORCE IN FACING COVID-19: DISINFORMATION AND ABSENCES IN BRAZIL'S PUBLIC POLICIES
t000160	35	The Conception, Validation, and Reliability of the Questionnaire for Screen Time of Adolescents (QueST)
t000162	19	PANORAMA OF ORTHODONTICS AFTER COVID-19: A CRITICAL LITERATURE REVIEW
t000163	24	Mental Health of Dentists during the COVID-19 Pandemic: A Critical Literature Review
t000164	47	COVID-19: Implications for People with Chagas Disease
t000165	24	COVID-19 dynamical evolution prediction in Mexico, decision making and social implementation: mid/low income countries study
t000166	26	The impact of socioeconomic vulnerability on COVID-19 outcomes and social distancing in Brazil
t000168	37	Why extended visits in an adult ICU receive a more positive evaluation from patient relatives than from the health care team?
t000170	27	CONSIDERATIONS ON ENDODONTIC CARE IN TIMES OF SARS CoV-2 PANDEMIC
t000171	36	Analysis of the spatial-temporal dynamics of incidence, mortality and test rates (rapid and RT-PCR) of COVID-19 in the state of Minas Gerais, Brazil
t000173	34	Anxiety-related psychological impacts in the COVID-19 pandemic on cardiovascular diseases and diabetes
t000175	29	Potential targets for the hepatitis C virus-mediated autoimmune thyroiditis
t000176	39	Neurological consultations and diagnoses in a large, dedicated COVID-19 university hospital
t000177	60	Best Practices on HVAC Design to Minimize the Risk of COVID-19 Infection within Indoor Environments
t000180	13	Differences in the prevalence of risk factors for severe COVID-19 across São Paulo city regions
t000185	7	Teledentistry in Brazil: a viable alternative during COVID-19 pandemic
t000186	27	Safety analysis of sacubitril/valsartan in patients with heart failure in Vitória, Espírito Santo
t000187	52	THE MOST PROMINENT ANTIVIRAL PHARMACEUTICALS USED AGAINST COVID-19 AND THEIR PERSPECTIVES
t000188	27	PREDICTION OF CUMULATIVE RATE OF COVID-19 DEATHS IN BRAZIL: A MODELING STUDY
t000189	43	Vitamin A and D deficiencies in the prognosis of respiratory tract infections: A systematic review with perspectives for COVID-19 and a critical analysis on supplementation
t000190	34	COVID-19: UNCOVERING INDIVIDUALITY
t000191	27	Characterization of dental surgeons of Pernambuco in the COVID-19 pandemic context: preliminary data.
t000192	22	THE CHALLENGING AND UNPREDICTABLE SPECTRUM OF COVID-19 IN CHILDREN AND ADOLESCENTS
t000193	63	Management of central nervous system demyelinating diseases during the coronavirus disease 2019 pandemic: a practical approach
t000195	2	Acute ischemic stroke in a patient with COVID-19
t000197	53	Literature review of the undertaking of the Oral Rapid Test for the detection of HIV by the dental surgeon
t000198	23	COVID-19-related challenges in dental education: experiences from Australia, Brazil, and the USA
t000199	7	Specific management of total laryngectomy patients during the COVID-19 pandemic in the Brazilian reality
t000200	62	Temporal analysis of leptospirosis incidence according to rainfall levels
t000201	26	MOBILITY RESTRICTIONS FOR THE CONTROL OF COVID-19 EPIDEMIC
t000203	35	BCG vaccination and its possible effects on the acceleration of incidence and mortality by the new coronavirus: second step
t000204	47	Role of education after the COVID-19 pandemic fear: a multidisciplinary and scientific perspective
t000205	60	Evidence from Cochrane systematic reviews for the dissemination control of the COVID-19 infection
t000206	36	Real-time PCR-based SARS-CoV-2 detection
t000207	24	SARS-CoV-2 and Saliva: an update
t000208	29	Dental care and the COVID-19 pandemic: the precautionary principle and the best available evidence
t000209	42	Safety model for chest drainage in pandemic by COVID-19
t000210	3	Cerebral Infarction in an Elderly Patient with Coronavirus Disease
t000211	49	The role of Angiology and Vascular Surgery in the COVID-19 pandemic
t000212	16	Short-term forecasting of daily COVID-19 cases in Brazil by using the Holt’s model
t000213	13	Coagulation modifiers targeting SARS-CoV-2 main protease Mpro for COVID-19 treatment: an in silico approach
t000214	17	Learning from the Italian experience in coping with COVID-19
t000215	31	The Effect of Coronavirus Disease 2019 on Cardiovascular Diseases
t000216	14	COVID-19 and Hypercoagulable State: A New Therapeutic Perspective
t000217	6	Quality of search – sample size
t000218	7	Nursing to combat the COVID-19 pandemic
t000219	6	COVID-19 pandemics and mental health: In times like these, we learn to live again
t000220	28	Cardiovascular Implications in Patients Infected with Covid-19 and the Importance of Social Isolation to Reduce Dissemination of the Disease
t000221	6	Novel Coronavirus Pneumonia and Cardiomyopathy: A Case Report
t000222	11	Pandemonium During the Pandemic: What is the Role of Health and Science Professionals?
t000223	14	Deaths due to Covid-19 in Brazil: how many and which ones are identified?
t000224	42	The pandemic in prison: interventions and overisolation
t000226	34	Covid-19 and Safety in the Cath Lab: Where We Are and Where We Are Headed
t000227	39	COVID-19 and the eye: how much do we really know? A best evidence review
t000228	13	COVID-19: challenges for a new epoch
t000229	36	Surveillance of the first cases of COVID-19 in Sergipe using a prospective spatiotemporal analysis: the spatial dispersion and its public health implications
t000230	21	Exercise Training: A Hero that Can Fight two Pandemics at Once
t000231	9	Individuals with covert severe acute respiratory syndrome coronavirus 2 infection: Are they a critical booby-trap?
t000232	14	Salivary Glands, Saliva and Oral Presentations in COVID-19 infection
t000233	28	The Covid-19 pandemic and the implementation of telehealth in speech-language and hearing therapy for patients at home: an experience report
t000234	12	Coronavirus and the eye: what is relevant so far?
t000235	10	COVID-19 and acute pulmonary embolism: what should be considered to indicate a computed tomography pulmonary angiography scan?
t000236	47	Investigation of Turkish dentists’ clinical attitudes and behaviors towards the COVID-19 pandemic: a survey study
t000237	14	Spatiotemporal evolution of coronavirus disease 2019 mortality in Brazil in 2020
t000238	8	Coronavirus Disease (COVID-19) Pandemic: An Opportunity Window to Implement Home-Based Cardiac Rehabilitation
t000239	46	War economy and the COVID-19 pandemic: Inequalities in stimulus packages as an additional challenge for health systems
t000240	9	Chronic phase of COVID-19: challenges for physical therapists in the face of musculoskeletal disorders
t000241	8	Reflections on the COVID-19 Pandemic
t000242	26	Diabetes and covid-19: more than the sum of two morbidities
t000243	10	In these difficult times of COVID-19, urologic research cannot stop: COVID-19 pandemic and reconstructive urology highlighted in International Brazilian Journal of Urology
t000244	10	Re: Reflections on the COVID-19 Pandemic
t000246	41	Behavior of scientific production on severe acute respiratory syndrome
t000247	23	Rational perspectives on risk and certainty for dentistry during the COVID-19 pandemic
t000248	19	Reducing public health costs with infant formulas: oral food challenge and misdiagnosed or outgrown cow’s milk protein allergy
t000249	23	Rio de Janeiro water crisis: a metagenomic approach
t000250	34	Associations of moderate to vigorous physical activity and sedentary behavior with depressive and anxiety symptoms in self-isolating people during the COVID-19 pandemic: A cross-sectional survey in Brazil
t000251	27	Personal data usage and privacy considerations in the COVID-19 global pandemic
t000252	38	Health belief model for coronavirus infection risk determinants
t000253	5	Can we manage prophylactic therapy in COVID-19 patients to prevent severe illness complications?
t000255	27	PSYCHO-EMOTIONAL CARE IN A NEONATAL UNIT DURING THE COVID-19 PANDEMIC
t000256	1	BILATERAL TROCHLEAR PALSY DUE TO CEREBRAL VASCULITIS RELATED TO COVID-19 INFECTION
t000257	6	The world haunted by Covid-19
t000258	8	Living in pandemic times
t000259	49	Neurological complications in patients with SARS-CoV-2 infection: a systematic review
t000262	18	Physical Exercise in Patients with Heart Disease and in the General Population in Times of Coronavirus
t000263	50	Coronavirus and the Heart | A Case Report on the Evolution of COVID-19 Associated with Cardiological Evolution
t000264	57	The Heart and COVID-19: What Cardiologists Need to Know
t000265	16	COVID-19: Updated Data and its Relation to the Cardiovascular System
t000266	22	Physical Activity And Reducing Sedentary Behavior During The Coronavirus Pandemic
t000267	6	How psychosocial and economic impacts of COVID-19 pandemic can interfere on bruxism and temporomandibular disorders?
t000268	25	Immunocompromised patients and coronavirus disease 2019: a review and recommendations for dental health care
t000269	33	The trauma and acute care surgeon in the COVID-19 pandemic era
t000271	41	Seroprevalence of IgG and IgM anti-SARS-CoV-2 among voluntary blood donors in Rio de Janeiro, Brazil
t000272	32	Schinopsis brasiliensis Engl. to combat the biofilm-dependents diseases in vitro
t000273	12	The need to strengthen Primary Health Care in Brazil in the context of the COVID-19 pandemic
t000274	52	Alternatives for establishing a surgical airway during the COVID-19 pandemic
t000275	23	Laparoscopic or robotic intraoperative management to minimize aerosol dispersion: Adaptations to the context of the COVID-19 pandemic
t000276	13	Older adults living under social distancing: possibilities for tackling Covid-19
t000277	23	Recommendations of the Brazilian College of Surgeons for laparoscopic surgery during the COVID-19 pandemic
t000279	23	Telehealth interventions in the context of the COVID-19 pandemic: Protocol for a scoping review
t000280	55	Monitoring the number of COVID-19 cases and deaths in Brazil at municipal and federative units level
t000281	37	PROGNOSTIC FACTORS FOR CLINICAL COURSE OF PATIENTS WITH  COVID-19: PROTOCOL FOR A RAPID LIVING SYSTEMATIC REVIEW
t000282	6	Approach of the physiotherapist in intensive care units in the context of the COVID-19 pandemic
t000283	33	Pharmacological interventions for COVID-19: Protocol for a Rapid Living Systematic Review with network meta-analysis
t000284	54	COVID-19 AND PATIENTS UNDERGOING PHARMACOLOGICAL TREATMENTS FOR IMMUNE-MEDIATED INFLAMMATORY DISEASES: PROTOCOL FOR A RAPID LIVING SYSTEMATIC REVIEW
t000285	28	SARS-COV-2 AND ARBOVIRUS INFECTIONS: PROTOCOL FOR A RAPID LIVING SYSTEMATIC REVIEW
t000287	20	Universal Screening of SARS-CoV-2 of Oncology Healthcare Workers — a Brazilian experience
t000288	34	Biological and social aspects of Coronavirus Disease 2019 (COVID-19) related to oral health
t000289	47	Perceived vulnerability to Coronavirus infection: impact on dental practice
t000291	31	Lockdown or participatory health surveillance? Lessons from the Covid-19
t000293	25	Chest CT accuracy in the diagnosis of SARS-CoV-2 infection: initial experience in a cancer center
t000294	38	WHAT HAS THE COVID-19 PANDEMIC TAUGHT US ABOUT ADOPTING PREVENTIVE MEASURES?
t000295	9	Infodemia, Fake News and Medicine: Science and The Quest for Truth
t000296	6	Germany's 'coronavirus anomaly': Statistical evidence that early mass testing leads to low mortality rates
t000297	19	Considerations on the mental health impact  of the novel coronavirus outbreak (COVID-19)
t000298	22	Worldwide differences in COVID19-related mortality
t000299	44	The Novel Coronavirus: An Alert for Pacifiers’ Disinfection
t000300	10	COVID-19 in Piauí: initial scenario and  perspectives for coping
t000301	11	Is Brazil prepared for the new era of  infectious disease epidemics?
t000302	8	Emergency science: epistemological insights on the response to COVID-19 pandemics
t000303	31	Knowledge, attitudes and practices towards COVID-19 in Paraguayans during outbreaks: a quick online survey
t000304	22	Symptoms of Anxiety and depression during the outbreak of COVID-19 in Paraguay
t000305	38	BCG vaccination and its possible effects on the acceleration of incidence and mortality by the new coronavirus: first step
t000306	5	The new coronavirus and the risk to children's health
t000307	29	COVID-19 Diagnostic and Management Protocol for Pediatric Patients
t000308	5	COVID-19 - Computed tomography findings in two patients in Petrópolis, Rio de Janeiro, Brazil
t000309	40	Management of inﬂammatory bowel disease patients in the COVID-19 pandemic era: a Brazilian tertiary referral center guidance
t000310	15	COVID-19: A Matter Close to the Heart
t000311	9	Challenges in the fight against the COVID-19 pandemic in university hospitals
t000312	9	Information about the new coronavirus disease (COVID-19)
t000315	21	COVID-19 in Brazil: advantages of a socialized unified health system and preparation to contain cases
